* Measurement data measured by REW V5.19
* Source: D:\Downloads\Floyd Toole Trained Listeners only.csv
* Format: Comma/Tab/Space delimited data
* Dated: Oct 22, 2020 9:47:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Downloads\Floyd Toole Trained Listeners only.csv Format: Comma/Tab/Space delimited data 406 values loaded, 20 Hz to 19,672 Hz
* Measurement: Floyd Toole Trained List
* Smoothing: None
* Frequency Step: 0.25000003 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
214.800 1.758 0
215.050 1.758 0
215.300 1.758 0
215.550 1.757 0
215.800 1.756 0
216.050 1.755 0
216.300 1.754 0
216.550 1.752 0
216.800 1.751 0
217.050 1.750 0
217.300 1.748 0
217.550 1.747 0
217.800 1.745 0
218.050 1.744 0
218.300 1.742 0
218.550 1.741 0
218.800 1.739 0
219.050 1.738 0
219.300 1.737 0
219.550 1.736 0
219.800 1.736 0
220.050 1.735 0
220.300 1.734 0
220.550 1.734 0
220.800 1.733 0
221.050 1.733 0
221.300 1.732 0
221.550 1.732 0
221.800 1.732 0
222.050 1.731 0
222.300 1.731 0
222.550 1.731 0
222.800 1.731 0
223.050 1.731 0
223.300 1.731 0
223.550 1.731 0
223.800 1.731 0
224.050 1.731 0
224.300 1.731 0
224.550 1.731 0
224.800 1.731 0
225.050 1.731 0
225.300 1.731 0
225.550 1.731 0
225.800 1.731 0
226.050 1.731 0
226.300 1.731 0
226.550 1.731 0
226.800 1.730 0
227.050 1.730 0
227.300 1.730 0
227.550 1.730 0
227.800 1.729 0
228.050 1.729 0
228.300 1.729 0
228.550 1.728 0
228.800 1.728 0
229.050 1.727 0
229.300 1.727 0
229.550 1.726 0
229.800 1.725 0
230.050 1.724 0
230.300 1.723 0
230.550 1.722 0
230.800 1.721 0
231.050 1.720 0
231.300 1.719 0
231.550 1.718 0
231.800 1.717 0
232.050 1.716 0
232.300 1.715 0
232.550 1.714 0
232.800 1.713 0
233.050 1.712 0
233.300 1.711 0
233.550 1.710 0
233.800 1.710 0
234.050 1.709 0
234.300 1.708 0
234.550 1.707 0
234.800 1.707 0
235.050 1.706 0
235.300 1.705 0
235.550 1.705 0
235.800 1.704 0
236.050 1.704 0
236.300 1.703 0
236.550 1.703 0
236.800 1.703 0
237.050 1.703 0
237.300 1.703 0
237.550 1.703 0
237.800 1.702 0
238.050 1.702 0
238.300 1.702 0
238.550 1.703 0
238.800 1.703 0
239.050 1.703 0
239.300 1.703 0
239.550 1.703 0
239.800 1.703 0
240.050 1.703 0
240.300 1.703 0
240.550 1.703 0
240.800 1.703 0
241.050 1.703 0
241.300 1.703 0
241.550 1.703 0
241.800 1.703 0
242.050 1.703 0
242.300 1.703 0
242.550 1.703 0
242.800 1.703 0
243.050 1.703 0
243.300 1.703 0
243.550 1.703 0
243.800 1.703 0
244.050 1.703 0
244.300 1.703 0
244.550 1.703 0
244.800 1.703 0
245.050 1.703 0
245.300 1.704 0
245.550 1.704 0
245.800 1.704 0
246.050 1.704 0
246.300 1.704 0
246.550 1.704 0
246.800 1.704 0
247.050 1.703 0
247.300 1.703 0
247.550 1.703 0
247.800 1.703 0
248.050 1.702 0
248.300 1.702 0
248.550 1.701 0
248.800 1.701 0
249.050 1.700 0
249.300 1.699 0
249.550 1.699 0
249.800 1.698 0
250.050 1.698 0
250.300 1.697 0
250.550 1.696 0
250.800 1.696 0
251.050 1.695 0
251.300 1.694 0
251.550 1.694 0
251.800 1.693 0
252.050 1.693 0
252.300 1.693 0
252.550 1.693 0
252.800 1.692 0
253.050 1.692 0
253.300 1.692 0
253.550 1.692 0
253.800 1.691 0
254.050 1.691 0
254.300 1.691 0
254.550 1.690 0
254.800 1.690 0
255.050 1.690 0
255.300 1.689 0
255.550 1.689 0
255.800 1.688 0
256.050 1.687 0
256.300 1.686 0
256.550 1.685 0
256.800 1.684 0
257.050 1.683 0
257.300 1.682 0
257.550 1.681 0
257.800 1.680 0
258.050 1.679 0
258.300 1.678 0
258.550 1.678 0
258.800 1.677 0
259.050 1.676 0
259.300 1.675 0
259.550 1.675 0
259.800 1.675 0
260.050 1.674 0
260.300 1.674 0
260.550 1.674 0
260.800 1.674 0
261.050 1.674 0
261.300 1.674 0
261.550 1.674 0
261.800 1.674 0
262.050 1.674 0
262.300 1.674 0
262.550 1.675 0
262.800 1.675 0
263.050 1.675 0
263.300 1.675 0
263.550 1.675 0
263.800 1.675 0
264.050 1.675 0
264.300 1.675 0
264.550 1.675 0
264.800 1.675 0
265.050 1.675 0
265.300 1.675 0
265.550 1.675 0
265.800 1.675 0
266.050 1.675 0
266.300 1.675 0
266.550 1.675 0
266.800 1.675 0
267.050 1.675 0
267.300 1.675 0
267.550 1.675 0
267.800 1.675 0
268.050 1.675 0
268.300 1.675 0
268.550 1.675 0
268.800 1.675 0
269.050 1.675 0
269.300 1.675 0
269.550 1.675 0
269.800 1.675 0
270.050 1.675 0
270.300 1.675 0
270.550 1.675 0
270.800 1.675 0
271.050 1.675 0
271.300 1.675 0
271.550 1.675 0
271.800 1.675 0
272.050 1.675 0
272.300 1.675 0
272.550 1.675 0
272.800 1.675 0
273.050 1.675 0
273.300 1.675 0
273.550 1.675 0
273.800 1.675 0
274.050 1.675 0
274.300 1.675 0
274.550 1.675 0
274.800 1.675 0
275.050 1.675 0
275.300 1.675 0
275.550 1.675 0
275.800 1.675 0
276.050 1.675 0
276.300 1.675 0
276.550 1.675 0
276.800 1.675 0
277.050 1.675 0
277.300 1.675 0
277.550 1.675 0
277.800 1.675 0
278.050 1.675 0
278.300 1.675 0
278.550 1.675 0
278.800 1.675 0
279.050 1.675 0
279.300 1.675 0
279.550 1.675 0
279.800 1.675 0
280.050 1.675 0
280.300 1.675 0
280.550 1.675 0
280.800 1.675 0
281.050 1.675 0
281.300 1.675 0
281.550 1.675 0
281.800 1.675 0
282.050 1.675 0
282.300 1.675 0
282.550 1.675 0
282.800 1.675 0
283.050 1.675 0
283.300 1.675 0
283.550 1.675 0
283.800 1.675 0
284.050 1.675 0
284.300 1.675 0
284.550 1.675 0
284.800 1.675 0
285.050 1.675 0
285.300 1.675 0
285.550 1.675 0
285.800 1.675 0
286.050 1.675 0
286.300 1.675 0
286.550 1.675 0
286.800 1.675 0
287.050 1.675 0
287.300 1.675 0
287.550 1.675 0
287.800 1.675 0
288.050 1.675 0
288.300 1.675 0
288.550 1.675 0
288.800 1.675 0
289.050 1.675 0
289.300 1.675 0
289.550 1.675 0
289.800 1.675 0
290.050 1.675 0
290.300 1.675 0
290.550 1.675 0
290.800 1.675 0
291.050 1.675 0
291.300 1.675 0
291.550 1.675 0
291.800 1.675 0
292.050 1.675 0
292.300 1.675 0
292.550 1.675 0
292.800 1.675 0
293.050 1.675 0
293.300 1.675 0
293.550 1.675 0
293.800 1.675 0
294.050 1.675 0
